賃料（下限）	cond[monthmoneyroom]	下限なし	3.0万円	3.5万円	4.0万円	4.5万円	5.0万円	5.5万円	6.0万円	6.5万円	7.0万円	7.5万円	8.0万円	8.5万円	9.0万円	9.5万円	10万円	11万円	12万円	13万円	14万円	15万円	16万円	17万円	18万円	19万円	20万円	30万円	50万円	100万円
分譲賃貸value	cond[mcf][331001]	0	1																											
免震構造	cond[mcf][334001]	0	1																											
免震構造value	cond[mcf][334001]	0	1																											
即入居可	cond[mcf][350301]	0	1																											
即入居可value	cond[mcf][350301]	0	1																											
スーパー 800ｍ以内	cond[mcf][410101]	0	1																											
スーパー 800ｍ以内value	cond[mcf][410101]	0	1																											
コンビニ 800ｍ以内	cond[mcf][410203]	0	1																											
コンビニ 800ｍ以内value	cond[mcf][410203]	0	1																											
小学校 800ｍ以内	cond[mcf][420101]	0	1																											
小学校 800ｍ以内value	cond[mcf][420101]	0	1																											
総合病院 800ｍ以内	cond[mcf][423103]	0	1																											
総合病院 800ｍ以内value	cond[mcf][423103]	0	1																											
